epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,83.1245,1.22527,4.63524,0.01837,0.07166,0.00901,0.08333,0.0048,0.00336,1.43406,5.54371,0.01437,0.1862,0.000147747,0.000147747,0.000147747
38,84.8979,1.45936,4.80003,0.01633,0.35325,0.00926,0.08333,0.00408,0.00286,1.37629,5.48414,0.01425,0.18562,0.000141382,0.000141382,0.000141382
39,86.6485,0.9391,6.23522,0.00484,0.05949,0.00926,0.08333,0.00408,0.00286,1.37629,5.48414,0.01425,0.18562,0.000134452,0.000134452,0.000134452
40,88.1731,1.31358,4.72742,0.02254,0.2381,0.00926,0.08333,0.00408,0.00286,1.37629,5.48414,0.01425,0.18562,0.000126955,0.000126955,0.000126955
41,89.7929,1.02345,5.8271,0.01836,0.10066,0.00926,0.08333,0.00408,0.00286,1.37629,5.48414,0.01425,0.18562,0.000118893,0.000118893,0.000118893
42,91.4509,1.11099,6.38528,0.01634,0.11191,0.01075,0.08333,0.00389,0.00272,1.37578,5.43433,0.01524,0.1895,0.000110264,0.000110264,0.000110264
43,93.1052,1.14314,6.03474,0.01949,0.25374,0.01075,0.08333,0.00389,0.00272,1.37578,5.43433,0.01524,0.1895,0.00010107,0.00010107,0.00010107
44,94.734,1.15566,5.94219,0.01629,0.17435,0.01075,0.08333,0.00389,0.00272,1.37578,5.43433,0.01524,0.1895,9.13102e-05,9.13102e-05,9.13102e-05
45,96.3793,0.71781,5.8748,0.00879,0.08611,0.01075,0.08333,0.00389,0.00272,1.37578,5.43433,0.01524,0.1895,8.09843e-05,8.09843e-05,8.09843e-05
46,97.9172,1.19376,6.43729,0.00488,0.10476,0.01149,0.08333,0.00371,0.0026,1.36219,5.39237,0.01524,0.19106,7.00924e-05,7.00924e-05,7.00924e-05
47,99.5789,1.4388,5.95809,0.01617,0.17757,0.01149,0.08333,0.00371,0.0026,1.36219,5.39237,0.01524,0.19106,5.86347e-05,5.86347e-05,5.86347e-05
48,101.091,1.1107,5.95624,0.01932,0.16491,0.01149,0.08333,0.00371,0.0026,1.36219,5.39237,0.01524,0.19106,4.66111e-05,4.66111e-05,4.66111e-05
49,102.728,1.22479,5.70618,0.01374,0.09484,0.01149,0.08333,0.00371,0.0026,1.36219,5.39237,0.01524,0.19106,3.40216e-05,3.40216e-05,3.40216e-05
50,104.425,1.24291,6.01441,0.01159,0.18253,0.01389,0.08333,0.00544,0.00381,1.37107,5.37204,0.01517,0.19481,2.08663e-05,2.08663e-05,2.08663e-05
