epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,1.49043,2.22686,7.97284,0.0295,0.28528,0,0,0,0,1.86655,6.08928,0.01562,0.1898,0,0,0
2,3.07814,2.53301,6.10589,0.0209,0.25576,0.01587,0.08333,0.0043,0.00258,1.90646,6.06065,0.01583,0.19187,1.40071e-05,1.40071e-05,1.40071e-05
3,4.5451,2.34107,6.15259,0.02033,0.19107,0.01587,0.08333,0.0048,0.00288,1.93497,6.03932,0.016,0.19466,2.74482e-05,2.74482e-05,2.74482e-05
4,6.14567,1.88213,5.37187,0.02658,0.25469,0.01515,0.08333,0.0051,0.00306,1.96959,6.03661,0.01614,0.19771,4.03235e-05,4.03235e-05,4.03235e-05
5,7.61679,2.61922,6.49142,0.01998,0.26623,0.01515,0.08333,0.00583,0.0035,1.98273,6.03501,0.01617,0.20268,5.26329e-05,5.26329e-05,5.26329e-05
6,9.10085,2.15383,6.44496,0.02317,0.25958,0.01515,0.08333,0.0043,0.00258,1.98726,6.0444,0.01628,0.20526,6.43764e-05,6.43764e-05,6.43764e-05
7,10.7841,1.90477,6.44727,0.02047,0.18826,0.02899,0.16667,0.01571,0.00478,2.04662,5.9989,0.01601,0.20758,7.55541e-05,7.55541e-05,7.55541e-05
8,12.2456,2.01723,7.16591,0.02488,0.31425,0.0303,0.16667,0.0165,0.00618,2.01382,5.96408,0.01622,0.21154,8.61658e-05,8.61658e-05,8.61658e-05
9,13.7994,1.77729,6.55175,0.01571,0.19028,0.0303,0.16667,0.0165,0.00618,2.01382,5.96408,0.01622,0.21154,9.62117e-05,9.62117e-05,9.62117e-05
10,15.2595,1.77501,6.47915,0.02233,0.13362,0.01667,0.08333,0.00544,0.00218,1.90698,5.96983,0.01579,0.22584,0.000105692,0.000105692,0.000105692
11,16.6597,1.28942,5.67284,0.02421,0.09954,0.01667,0.08333,0.00544,0.00218,1.90698,5.96983,0.01579,0.22584,0.000114606,0.000114606,0.000114606
12,18.2424,1.70412,5.62509,0.02333,0.15229,0.01852,0.08333,0.0048,0.00238,1.89795,5.88271,0.01454,0.2342,0.000122954,0.000122954,0.000122954
13,19.7578,1.7845,5.7382,0.01898,0.11398,0.01852,0.08333,0.0048,0.00238,1.89795,5.88271,0.01454,0.2342,0.000130736,0.000130736,0.000130736
14,21.5637,1.98018,5.41485,0.01752,0.20113,0,0,0,0,1.67413,5.89002,0.01532,0.23822,0.000137953,0.000137953,0.000137953
15,23.2068,1.61627,5.22896,0.01968,0.12426,0,0,0,0,1.67413,5.89002,0.01532,0.23822,0.000144603,0.000144603,0.000144603
16,24.755,1.47431,6.6924,0.01948,0.26342,0,0,0,0,1.64616,5.82295,0.01415,0.23947,0.000150688,0.000150688,0.000150688
