epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,544.006,0.82325,2.46321,0.01962,0.01472,0.21781,0.44444,0.35111,0.26806,1.58302,4.86029,0.02001,0.14022,0.000147747,0.000147747,0.000147747
38,553.444,0.81147,2.31529,0.02145,0.01757,0.23455,0.44444,0.3497,0.26791,1.54723,4.66844,0.0201,0.11754,0.000141382,0.000141382,0.000141382
39,562.739,0.82132,2.19795,0.01801,0.02229,0.23455,0.44444,0.3497,0.26791,1.54723,4.66844,0.0201,0.11754,0.000134452,0.000134452,0.000134452
40,572.273,0.63587,2.35506,0.0235,0.01493,0.23455,0.44444,0.3497,0.26791,1.54723,4.66844,0.0201,0.11754,0.000126955,0.000126955,0.000126955
41,582.41,0.65367,2.89941,0.02109,0.0125,0.23455,0.44444,0.3497,0.26791,1.54723,4.66844,0.0201,0.11754,0.000118893,0.000118893,0.000118893
42,591.804,0.69421,2.77582,0.0229,0.03206,0.24589,0.44444,0.35111,0.2801,1.4823,4.5288,0.02025,0.10169,0.000110264,0.000110264,0.000110264
43,600.913,0.62911,2.55733,0.02386,0.01298,0.24589,0.44444,0.35111,0.2801,1.4823,4.5288,0.02025,0.10169,0.00010107,0.00010107,0.00010107
44,610.474,0.50244,2.49509,0.02625,0.01874,0.24589,0.44444,0.35111,0.2801,1.4823,4.5288,0.02025,0.10169,9.13102e-05,9.13102e-05,9.13102e-05
45,619.882,0.74925,3.17207,0.02207,0.03116,0.24589,0.44444,0.35111,0.2801,1.4823,4.5288,0.02025,0.10169,8.09843e-05,8.09843e-05,8.09843e-05
46,629.131,0.50524,2.82857,0.01766,0.01308,0.25141,0.44444,0.35478,0.27843,1.46456,4.43434,0.02029,0.09062,7.00924e-05,7.00924e-05,7.00924e-05
47,638.684,0.50021,2.54731,0.02315,0.00664,0.25141,0.44444,0.35478,0.27843,1.46456,4.43434,0.02029,0.09062,5.86347e-05,5.86347e-05,5.86347e-05
48,647.76,0.68782,3.20879,0.02096,0.01664,0.25141,0.44444,0.35478,0.27843,1.46456,4.43434,0.02029,0.09062,4.66111e-05,4.66111e-05,4.66111e-05
49,657.844,0.51779,3.0045,0.0218,0.02736,0.25141,0.44444,0.35478,0.27843,1.46456,4.43434,0.02029,0.09062,3.40216e-05,3.40216e-05,3.40216e-05
50,668.068,0.50622,3.10448,0.01879,0.01272,0.25127,0.44444,0.35722,0.28112,1.46188,4.41063,0.02035,0.08669,2.08663e-05,2.08663e-05,2.08663e-05
